H,R,T
drug-00168,expression,hpo-03925
drug-00168,improve,hpo-03925
drug-00168,reduce,hpo-03528
drug-00168,reduce,hpo-12824
drug-00168,reduce,hpo-12942
drug-00168,regulate,small_molecule-11313
drug-00186,change,hpo-03925
drug-00186,improve,hpo-03925
drug-00186,studi,hpo-03925
drug-00192,affect,hpo-12817
drug-00192,associate,hpo-12817
drug-00192,reduce,hpo-12817
drug-00192,risk,hpo-12817
drug-00194,inhibit,hpo-03528
drug-00194,prevent,hpo-03549
drug-00194,prevent,hpo-08279
drug-00194,reduce,small_molecule-35204
drug-00194,treat,hpo-03751
drug-00194,treat,hpo-06573
drug-00194,treat,hpo-08279
drug-00194,treat,hpo-12834
drug-00194,treat,hpo-12856
drug-00194,treat,hpo-12950
drug-00194,treat,hpo-13188
drug-00195,increase,hpo-03925
drug-00205,affect,hpo-03632
drug-00205,affect,hpo-03925
drug-00205,affect,hpo-13303
drug-00205,protect,hpo-03632
drug-00226,affect,hpo-03925
drug-00226,affect,hpo-13631
drug-00226,change,hpo-13631
drug-00226,expression,hpo-13631
drug-00226,increase,hpo-03925
drug-00226,treat,hpo-03925
drug-00226,use,hpo-13188
drug-00234,bind,hpo-03925
drug-00255,associate,hpo-03925
drug-00255,bind,hpo-03925
drug-00255,change,hpo-03925
drug-00255,expression,hpo-03747
drug-00255,prevent,hpo-12821
drug-00255,protect,hpo-10127
drug-00255,reduce,hpo-03925
drug-00255,reduce,small_molecule-05223
drug-00255,show,hpo-03858
drug-00255,show,small_molecule-02847
drug-00255,treat,hpo-03925
drug-00255,treat,hpo-13303
drug-00266,reduce,hpo-13128
drug-00266,treat,hpo-03775
drug-00281,cause,hpo-13129
drug-00281,cause,small_molecule-10507
drug-00304,expression,hpo-03897
drug-00319,prevent,gene-08074
drug-00321,activate,hpo-12834
drug-00321,affect,hpo-04141
drug-00321,affect,hpo-13303
drug-00321,cause,hpo-08875
drug-00321,cause,hpo-13074
drug-00321,expression,hpo-12857
drug-00321,function,hpo-12857
drug-00321,improve,hpo-03925
drug-00321,improve,hpo-12857
drug-00321,increase,hpo-12857
drug-00321,inhibit,hpo-13647
drug-00321,potenti,hpo-03925
drug-00321,prevent,hpo-03925
drug-00321,protect,hpo-03925
drug-00321,reduce,hpo-03925
drug-00321,reduce,hpo-04112
drug-00321,reduce,hpo-12857
drug-00321,reduce,hpo-12949
drug-00321,reduce,hpo-13631
drug-00321,regulate,hpo-03925
drug-00321,treat,hpo-03925
drug-00321,treat,hpo-12949
drug-00333,improve,hpo-13006
drug-00335,show,hpo-04198
drug-00353,affect,hpo-03878
drug-00353,associate,disease-1503
drug-00353,cause,hpo-13301
drug-00358,affect,hpo-03632
drug-00358,affect,hpo-03925
drug-00358,affect,hpo-13474
drug-00358,associate,hpo-03925
drug-00358,cause,hpo-03925
drug-00358,feature,hpo-03528
drug-00358,focus,hpo-03925
drug-00358,increase,hpo-03925
drug-00358,increase,hpo-12857
drug-00358,prevent,hpo-03726
drug-00358,produce,hpo-03925
drug-00370,reduce,hpo-03925
drug-00371,affect,hpo-03925
drug-00371,affect,hpo-13303
drug-00371,improve,hpo-03720
drug-00371,inhibit,hpo-00016
drug-00371,inhibit,hpo-03528
drug-00371,reverse,hpo-13303
drug-00378,cause,hpo-03528
drug-00378,inhibit,hpo-03549
drug-00380,identifi,hpo-13549
drug-00380,inhibit,hpo-09983
drug-00380,inhibit,hpo-10098
drug-00380,maintain,hpo-03925
drug-00380,regulate,hpo-10098
drug-00380,treat,hpo-03861
drug-00380,treat,hpo-03925
drug-00380,treat,small_molecule-09507
drug-00388,affect,hpo-03528
drug-00388,prevent,hpo-03528
drug-00388,regulate,hpo-03634
drug-00388,show,hpo-03528
drug-00402,expression,hpo-05246
drug-00402,increase,hpo-05246
drug-00402,observe,hpo-05246
drug-00402,reduce,hpo-03925
drug-00402,serve,hpo-03118
drug-00402,serve,hpo-13074
drug-00402,treat,hpo-03925
drug-00402,treat,hpo-05246
drug-00402,treat,hpo-12952
drug-00411,affect,hpo-06802
drug-00411,affect,hpo-10127
drug-00411,expression,hpo-03925
drug-00411,improve,hpo-03925
drug-00411,initi,hpo-10147
drug-00411,reduce,hpo-03646
drug-00411,reduce,hpo-13631
drug-00411,transloc,hpo-03634
drug-00411,treat,disease-3797
drug-00411,treat,hpo-03925
drug-00411,treat,hpo-13303
drug-00418,bind,hpo-12642
drug-00418,bind,hpo-13073
drug-00418,bind,hpo-13265
drug-00418,inhibit,hpo-12986
drug-00425,associate,hpo-03925
drug-00425,associate,hpo-13303
drug-00425,cause,hpo-03925
drug-00425,cause,hpo-12857
drug-00425,cause,small_molecule-11291
drug-00425,change,hpo-03925
drug-00425,conside,hpo-04112
drug-00425,inhibit,hpo-12862
drug-00425,patholog,hpo-03925
drug-00425,patholog,hpo-12946
drug-00425,production,hpo-03925
drug-00427,cause,small_molecule-08566
drug-00427,demonstr,hpo-03925
drug-00427,improve,hpo-03925
drug-00427,increase,small_molecule-11291
drug-00427,reduce,hpo-03646
drug-00427,reduce,hpo-04198
drug-00435,expression,disease-0272
drug-00441,associate,small_molecule-11291
drug-00441,expression,hpo-03925
drug-00472,prevent,hpo-03925
drug-00472,prevent,small_molecule-02847
drug-00472,treat,hpo-03925
drug-00472,treat,hpo-13219
drug-00485,cause,hpo-03925
drug-00502,affect,hpo-12050
drug-00502,use,hpo-10164
drug-00518,affect,disease-2931
drug-00525,contain,hpo-13003
drug-00530,affect,hpo-03528
drug-00530,treat,hpo-03925
drug-00530,treat,hpo-12855
drug-00539,associate,hpo-03859
drug-00539,marker,hpo-13301
drug-00547,cause,hpo-04141
drug-00547,cause,hpo-12857
drug-00547,treat,hpo-10147
drug-00559,bind,hpo-04198
drug-00559,cause,hpo-13286
drug-00559,reduce,hpo-03655
drug-00559,reduce,hpo-04198
drug-00559,treat,hpo-03420
drug-00571,associate,hpo-02571
drug-00571,associate,hpo-03925
drug-00571,associate,hpo-13528
drug-00571,cause,hpo-02571
drug-00571,cause,hpo-12470
drug-00571,demonstr,hpo-03925
drug-00571,improve,hpo-13074
drug-00571,marker,hpo-13528
drug-00571,reduce,hpo-03165
drug-00571,reduce,hpo-05245
drug-00571,reduce,hpo-12948
drug-00571,reduce,hpo-13074
drug-00571,reduce,hpo-13265
drug-00571,reduce,hpo-13303
drug-00571,reduce,hpo-13647
drug-00571,serve,disease-0279
drug-00571,serve,hpo-04141
drug-00571,treat,hpo-06791
drug-00572,bind,hpo-03925
drug-00572,improve,hpo-13006
drug-00572,prevent,hpo-12857
drug-00572,reduce,hpo-12857
drug-00572,treat,hpo-03925
drug-00572,treat,hpo-13303
drug-00578,associate,hpo-03925
drug-00578,cause,hpo-03925
drug-00578,risk,hpo-03925
drug-00582,cause,hpo-13039
drug-00582,provid,disease-2794
drug-00590,inhibit,hpo-03634
drug-00590,maintain,hpo-10098
drug-00590,marker,hpo-00016
drug-00596,treat,hpo-08310
drug-00600,affect,hpo-03632
drug-00600,expression,hpo-03925
drug-00600,function,small_molecule-11291
drug-00600,reduce,hpo-03632
drug-00600,reduce,hpo-03925
drug-00600,reduce,small_molecule-11291
drug-00600,regulate,hpo-03925
drug-00600,reverse,hpo-03925
drug-00600,treat,hpo-03420
drug-00600,treat,small_molecule-11291
drug-00607,activate,hpo-13310
drug-00607,associate,gene-00875
drug-00607,treat,disease-5187
drug-00607,treat,hpo-13410
drug-00612,affect,hpo-03925
drug-00612,reduce,hpo-03925
drug-00612,stimul,hpo-03528
drug-00612,treat,hpo-03925
drug-00628,affect,hpo-03634
drug-00628,affect,hpo-03721
drug-00628,cause,hpo-03528
drug-00628,cause,hpo-03925
drug-00628,cause,hpo-06573
drug-00628,cause,small_molecule-11291
drug-00628,exist,hpo-03925
drug-00628,increase,disease-1233
drug-00628,increase,hpo-03719
drug-00628,increase,hpo-03925
drug-00628,reduce,disease-1233
drug-00628,regulate,hpo-13631
drug-00628,signal,hpo-03925
drug-00629,abolish,hpo-13126
drug-00629,control,hpo-03925
drug-00629,increase,hpo-03925
drug-00629,inhibit,hpo-03646
drug-00629,prevent,hpo-04141
drug-00629,reduce,hpo-03549
drug-00629,reduce,hpo-10147
drug-00629,reduce,hpo-13126
drug-00629,show,hpo-03925
drug-00641,abolish,small_molecule-25839
drug-00649,affect,hpo-03925
drug-00655,patholog,hpo-13495
drug-00656,increase,hpo-03655
drug-00656,produce,hpo-03925
drug-00656,use,hpo-03856
drug-00656,use,hpo-03925
drug-00663,affect,disease-0270
drug-00663,cause,hpo-03925
drug-00666,observe,hpo-12857
drug-00666,reduce,hpo-03528
drug-00666,reduce,hpo-03547
drug-00670,associate,hpo-13219
drug-00670,risk,hpo-08854
drug-00683,affect,hpo-10126
drug-00683,affect,hpo-10127
drug-00688,activate,hpo-03925
drug-00688,affect,hpo-03925
drug-00688,affect,hpo-13303
drug-00688,cause,hpo-03528
drug-00688,cause,hpo-13303
drug-00688,expression,hpo-03925
drug-00688,improve,hpo-12857
drug-00688,prevent,hpo-04198
drug-00688,reduce,hpo-03528
drug-00688,reduce,hpo-03925
drug-00688,reduce,small_molecule-09029
drug-00688,reduce,small_molecule-11313
drug-00688,reverse,hpo-03925
drug-00688,treat,hpo-03925
drug-00688,treat,hpo-13303
drug-00691,prevent,hpo-03528
drug-00710,treat,disease-3797
drug-00742,affect,hpo-12857
drug-00742,improve,hpo-06761
drug-00742,improve,hpo-13303
drug-00742,increase,gene-27622
drug-00742,reduce,hpo-13432
drug-00745,found,hpo-13528
drug-00745,prevent,hpo-13528
drug-00757,maintain,small_molecule-18851
drug-00770,expression,hpo-08911
drug-00770,prevent,hpo-03528
drug-00770,prevent,hpo-13303
drug-00770,treat,hpo-13303
drug-00777,affect,hpo-03646
drug-00777,cause,hpo-13128
drug-00777,confer,hpo-03925
drug-00777,expression,hpo-04112
drug-00777,reduce,hpo-03646
drug-00777,show,hpo-03925
drug-00793,affect,hpo-03925
drug-00793,develop,hpo-03925
drug-00793,potenti,hpo-03925
drug-00807,inhibit,disease-3797
drug-00807,treat,hpo-06573
drug-00807,treat,hpo-13188
drug-00828,associate,disease-0259
drug-00849,treat,hpo-06573
drug-00849,treat,hpo-12856
drug-00849,treat,hpo-13188
drug-00858,abolish,hpo-03925
drug-00864,evalu,hpo-03925
drug-00864,expression,hpo-03549
drug-00864,reduce,hpo-12834
drug-00870,use,hpo-03925
drug-00880,cause,hpo-12834
drug-00895,reduce,hpo-03891
drug-00909,affect,hpo-12857
drug-00909,change,hpo-12857
drug-00909,exist,hpo-04112
drug-00909,improve,hpo-03925
drug-00909,protect,hpo-03925
drug-00909,protect,hpo-12857
drug-00909,treat,hpo-03925
drug-00909,use,hpo-03925
drug-00932,inhibit,hpo-04141
drug-00932,reduce,hpo-04112
drug-00932,reduce,hpo-12851
drug-00932,reduce,hpo-13314
drug-00932,treat,hpo-12857
drug-00953,affect,hpo-13303
drug-00962,reduce,hpo-03925
drug-00984,affect,hpo-03925
drug-00984,associate,hpo-03925
drug-00984,associate,hpo-12834
drug-00984,cause,hpo-03632
drug-00984,cause,hpo-03925
drug-00984,cause,hpo-04198
drug-00984,cause,hpo-09060
drug-00984,cause,hpo-12834
drug-00984,cause,small_molecule-09290
drug-00984,improve,hpo-03925
drug-00984,increase,hpo-03925
drug-00984,reduce,hpo-03925
drug-00984,risk,hpo-12834
drug-00984,use,disease-2005
drug-00984,use,hpo-00365
drug-00984,use,hpo-04730
drug-01003,affect,hpo-03549
drug-01003,treat,hpo-12950
drug-01015,associate,hpo-03547
drug-01015,associate,hpo-03925
drug-01018,expression,hpo-03925
drug-01018,improve,hpo-03925
drug-01018,reduce,hpo-03528
drug-01018,treat,hpo-13290
drug-01021,affect,disease-0270
drug-01021,expression,disease-0270
drug-01021,inhibit,disease-0270
drug-01021,use,disease-0270
drug-01021,use,disease-0279
drug-01025,affect,hpo-03528
drug-01025,inhibit,hpo-03528
drug-01025,inhibit,hpo-13303
drug-01025,inhibit,hpo-13631
drug-01025,prevent,hpo-03646
drug-01025,reduce,hpo-03925
drug-01048,increase,hpo-03925
drug-01049,affect,gene-05850
drug-01049,affect,hpo-12831
drug-01049,cause,hpo-13354
drug-01049,improve,hpo-03634
drug-01049,inhibit,gene-05850
drug-01049,protect,hpo-13354
drug-01049,regulate,small_molecule-11291
drug-01060,affect,hpo-03925
drug-01060,affect,hpo-13303
drug-01060,improve,hpo-03720
drug-01060,inhibit,hpo-00016
drug-01060,inhibit,hpo-03925
drug-01060,reverse,hpo-13303
drug-01072,found,hpo-03726
drug-01076,activate,hpo-09985
drug-01076,treat,hpo-03925
drug-01078,inhibit,hpo-12857
drug-01078,protect,hpo-12407
drug-01078,protect,hpo-13631
drug-01099,affect,small_molecule-11313
drug-01099,inhibit,small_molecule-11313
drug-01099,reduce,hpo-03925
drug-01099,reduce,hpo-13303
drug-01099,treat,hpo-03528
drug-01099,treat,hpo-13303
drug-01099,use,hpo-03925
drug-01099,use,hpo-12855
drug-01102,cause,hpo-04345
drug-01102,cause,hpo-04363
drug-01102,cause,hpo-04386
drug-01102,particip,hpo-12959
drug-01102,treat,disease-0285
drug-01102,treat,hpo-03891
drug-01103,improve,hpo-03925
drug-01103,improve,hpo-12824
drug-01103,inhibit,hpo-04141
drug-01103,reduce,hpo-04141
drug-01116,affect,hpo-03925
drug-01116,change,hpo-12857
drug-01116,prevent,hpo-03726
drug-01116,reduce,hpo-03528
drug-01116,reduce,hpo-10147
drug-01116,reduce,hpo-12857
drug-01116,reverse,small_molecule-47205
drug-01120,act,hpo-13303
drug-01120,affect,hpo-03642
drug-01120,affect,hpo-03925
drug-01120,associate,hpo-03925
drug-01120,associate,hpo-13631
drug-01120,cause,hpo-03528
drug-01120,cause,hpo-04198
drug-01120,change,hpo-03925
drug-01120,control,hpo-03925
drug-01120,expression,hpo-04141
drug-01120,improve,hpo-03726
drug-01120,improve,hpo-03925
drug-01120,inhibit,hpo-10098
drug-01120,observe,hpo-04112
drug-01120,prevent,hpo-03891
drug-01120,prevent,hpo-03925
drug-01120,protect,hpo-03925
drug-01120,protect,hpo-04112
drug-01120,protect,hpo-12834
drug-01120,protect,hpo-13303
drug-01120,reduce,hpo-03528
drug-01120,reduce,hpo-03549
drug-01120,reduce,hpo-03925
drug-01120,reverse,hpo-03726
drug-01120,treat,hpo-03747
drug-01120,treat,hpo-03925
drug-01120,treat,hpo-04112
drug-01120,treat,hpo-13303
drug-01120,treat,small_molecule-21434
drug-01120,use,hpo-03925
drug-01120,use,hpo-04112
drug-01120,use,hpo-13303
drug-01135,prevent,hpo-03726
drug-01135,produce,hpo-03925
drug-01135,treat,hpo-03925
drug-01150,improve,hpo-03925
drug-01150,improve,hpo-13647
drug-01150,use,hpo-13188
drug-01179,affect,hpo-07326
drug-01179,affect,hpo-12817
drug-01179,inhibit,hpo-03897
drug-01179,reduce,hpo-03897
drug-01181,act,hpo-13301
drug-01181,affect,hpo-13301
drug-01181,associate,hpo-03547
drug-01181,associate,hpo-03925
drug-01181,bind,hpo-03925
drug-01181,expression,hpo-03528
drug-01181,expression,hpo-03747
drug-01181,expression,hpo-13303
drug-01181,expression,small_molecule-11291
drug-01181,prevent,hpo-03634
drug-01181,prevent,hpo-03803
drug-01181,reduce,hpo-03925
drug-01181,reduce,hpo-13301
drug-01181,treat,hpo-03420
drug-01181,treat,hpo-03925
drug-01181,treat,hpo-12857
drug-01200,demonstr,hpo-12857
drug-01200,reduce,hpo-03634
drug-01200,reduce,hpo-12857
drug-01203,treat,hpo-12817
drug-01224,improve,hpo-10147
drug-01224,improve,small_molecule-21434
drug-01224,treat,small_molecule-21434
drug-01241,prevent,small_molecule-21215
drug-01242,affect,hpo-12857
drug-01242,reduce,hpo-03925
drug-01242,treat,hpo-12857
drug-01252,treat,hpo-12733
drug-01259,improve,hpo-03925
drug-01259,reduce,hpo-03925
drug-01259,use,hpo-03925
drug-01269,control,hpo-09290
drug-01317,provid,hpo-12857
drug-01317,provid,hpo-13303
drug-01326,activate,hpo-03925
drug-01326,activate,hpo-12857
drug-01326,activate,hpo-13303
drug-01326,affect,gene-04423
drug-01326,affect,hpo-03925
drug-01326,affect,small_molecule-09030
drug-01326,associate,hpo-03925
drug-01326,associate,hpo-04112
drug-01326,associate,hpo-04144
drug-01326,associate,hpo-06791
drug-01326,associate,hpo-12857
drug-01326,associate,hpo-12945
drug-01326,associate,hpo-12949
drug-01326,cause,hpo-00236
drug-01326,cause,hpo-03528
drug-01326,cause,hpo-03549
drug-01326,cause,hpo-03634
drug-01326,cause,hpo-03925
drug-01326,cause,hpo-13303
drug-01326,change,hpo-10098
drug-01326,expression,gene-05627
drug-01326,expression,hpo-13281
drug-01326,have,small_molecule-08566
drug-01326,identifi,disease-1182
drug-01326,interact,small_molecule-09030
drug-01326,observe,drug-00335
drug-01326,produce,hpo-03925
drug-01326,reduce,gene-04423
drug-01326,regulate,hpo-13580
drug-01326,treat,hpo-03925
drug-01326,treat,hpo-13303
drug-01329,affect,hpo-03925
drug-01329,develop,hpo-03528
drug-01329,develop,hpo-03925
drug-01329,feature,hpo-03925
drug-01329,identifi,hpo-03925
drug-01329,interact,hpo-12817
drug-01329,regulate,hpo-03858
drug-01329,regulate,hpo-03925
drug-01329,treat,hpo-03925
drug-01329,treat,small_molecule-11291
drug-01334,reduce,hpo-03646
drug-01334,use,hpo-12857
drug-01340,reduce,hpo-03630
drug-01341,activate,small_molecule-11291
drug-01341,expression,hpo-12857
drug-01341,inhibit,hpo-12817
drug-01341,reduce,hpo-03925
drug-01341,reduce,hpo-12857
drug-01341,treat,hpo-12857
drug-01349,change,hpo-03925
drug-01349,inhibit,hpo-03528
